pickup,destination,time_slot,seats,vehicle_type,price,rating,match_level
Hyderabad,Mumbai,Morning,2,Car,8500,4.8,Best
Hyderabad,Bangalore,Morning,3,SUV,6500,4.5,Best
Hyderabad,Chennai,Evening,1,Car,5000,4.0,Suitable
Mumbai,Pune,Morning,2,Car,2000,4.7,Best
Bangalore,Chennai,Night,4,SUV,3000,3.8,Suitable
Delhi,Jaipur,Morning,1,Bike,1200,3.5,Low
Hyderabad,Vijayawada,Night,2,Car,1800,3.2,Low
Chennai,Bangalore,Evening,3,SUV,2500,4.1,Suitable
Pune,Mumbai,Morning,2,Car,2000,4.9,Best
Delhi,Agra,Night,1,Bike,1000,2.8,Low
Hyderabad,Mumbai,Morning,4,SUV,9000,4.9,Best
Hyderabad,Bangalore,Morning,2,Car,6000,4.6,Best
Mumbai,Delhi,Morning,3,SUV,7500,4.7,Best
Delhi,Mumbai,Evening,3,Car,7200,4.5,Best
Bangalore,Hyderabad,Morning,2,Car,5500,4.6,Best
Chennai,Hyderabad,Morning,3,SUV,6200,4.4,Best
Pune,Bangalore,Evening,2,Car,3500,4.3,Suitable
Vizag,Hyderabad,Morning,2,Car,2800,4.2,Suitable
Vijayawada,Hyderabad,Evening,2,Car,1800,4.0,Suitable
Warangal,Hyderabad,Night,1,Bike,700,3.4,Low
Delhi,Chandigarh,Morning,2,Car,2500,4.1,Suitable
Chennai,Pune,Night,3,SUV,6500,4.2,Suitable
Mumbai,Goa,Morning,2,Car,4500,4.8,Best
Goa,Mumbai,Evening,2,Car,4300,4.5,Suitable
Hyderabad,Tirupati,Night,1,Bike,1500,3.2,Low
Tirupati,Chennai,Morning,2,Car,1800,4.0,Suitable
Vizag,Vijayawada,Morning,2,Car,1200,4.6,Best
Vijayawada,Vizag,Evening,2,Car,1200,4.4,Suitable
Bangalore,Mysore,Morning,3,SUV,1500,4.7,Best
Mysore,Bangalore,Evening,2,Car,1400,4.2,Suitable
Delhi,Lucknow,Night,1,Bike,1300,3.0,Low
Lucknow,Delhi,Morning,2,Car,2500,4.1,Suitable
Hyderabad,Nagpur,Morning,2,Car,3500,4.3,Suitable
Nagpur,Hyderabad,Evening,2,Car,3400,4.0,Suitable
Mumbai,Ahmedabad,Morning,3,SUV,5000,4.8,Best
Ahmedabad,Mumbai,Evening,2,Car,4700,4.4,Suitable
Chennai,Coimbatore,Morning,2,Car,2200,4.5,Best
Coimbatore,Chennai,Evening,2,Car,2100,4.2,Suitable
Hyderabad,Warangal,Morning,2,Car,900,4.6,Best
Warangal,Hyderabad,Evening,1,Bike,700,3.3,Low
Delhi,Agra,Morning,2,Car,1500,4.2,Suitable
Agra,Delhi,Evening,2,Car,1500,4.1,Suitable
Mumbai,Pune,Night,1,Bike,800,2.9,Low
Bangalore,Chennai,Morning,4,SUV,3200,4.7,Best
Chennai,Bangalore,Morning,4,SUV,3200,4.6,Best
Hyderabad,Vizag,Morning,3,SUV,2800,4.8,Best
Vizag,Hyderabad,Evening,3,SUV,2800,4.4,Suitable
Delhi,Jaipur,Evening,2,Car,1800,4.0,Suitable
Jaipur,Delhi,Morning,2,Car,1800,4.3,Suitable
Pune,Goa,Morning,2,Car,3000,4.7,Best
Goa,Pune,Evening,2,Car,2900,4.3,Suitable
